step 258: dis loss 0.315799, dis acc 0.000000, gan loss 0.309859, gan acc 0.000000
step 259: dis loss 0.314140, dis acc 0.000000, gan loss 0.325417, gan acc 0.000000
step 260: dis loss 0.326398, dis acc 0.000000, gan loss 0.333147, gan acc 0.000000
step 261: dis loss 0.318734, dis acc 0.000000, gan loss 0.341354, gan acc 0.000000
step 262: dis loss 0.328294, dis acc 0.000000, gan loss 0.339978, gan acc 0.000000
step 263: dis loss 0.324755, dis acc 0.000000, gan loss 0.345344, gan acc 0.000000
step 264: dis loss 0.340106, dis acc 0.000000, gan loss 0.351390, gan acc 0.000000
step 265: dis loss 0.344090, dis acc 0.000000, gan loss 0.340659, gan acc 0.000000
step 266: dis loss 0.326188, dis acc 0.000000, gan loss 0.336785, gan acc 0.000000
step 267: dis loss 0.327004, dis acc 0.000000, gan loss 0.318169, gan acc 0.000000
step 268: dis loss 0.322104, dis acc 0.000000, gan loss 0.305275, gan acc 0.000000
step 269: dis loss 0.313748, dis acc 0.000000, gan loss 0.337882, gan acc 0.000000
step 270: dis loss 0.327727, dis acc 0.000000, gan loss 0.335431, gan acc 0.000000
step 271: dis loss 0.337527, dis acc 0.000000, gan loss 0.327372, gan acc 0.000000
step 272: dis loss 0.325242, dis acc 0.000000, gan loss 0.326497, gan acc 0.000000
step 273: dis loss 0.310732, dis acc 0.000000, gan loss 0.326541, gan acc 0.000000
step 274: dis loss 0.331391, dis acc 0.000000, gan loss 0.342180, gan acc 0.000000
step 275: dis loss 0.329309, dis acc 0.000000, gan loss 0.326261, gan acc 0.000000
step 276: dis loss 0.304687, dis acc 0.000000, gan loss 0.310846, gan acc 0.000000
step 277: dis loss 0.319684, dis acc 0.000000, gan loss 0.318066, gan acc 0.000000
step 278: dis loss 0.311246, dis acc 0.000000, gan loss 0.313692, gan acc 0.000000
step 279: dis loss 0.324697, dis acc 0.000000, gan loss 0.318722, gan acc 0.000000
step 280: dis loss 0.328818, dis acc 0.000000, gan loss 0.350713, gan acc 0.000000
step 281: dis loss 0.328272, dis acc 0.000000, gan loss 0.334099, gan acc 0.000000
step 282: dis loss 0.336219, dis acc 0.000000, gan loss 0.372045, gan acc 0.000000
step 283: dis loss 0.317219, dis acc 0.000000, gan loss 0.308041, gan acc 0.000000
step 284: dis loss 0.318959, dis acc 0.000000, gan loss 0.332644, gan acc 0.000000
step 285: dis loss 0.332384, dis acc 0.000000, gan loss 0.340801, gan acc 0.000000
step 286: dis loss 0.338416, dis acc 0.000000, gan loss 0.345306, gan acc 0.000000
step 287: dis loss 0.334678, dis acc 0.000000, gan loss 0.340916, gan acc 0.000000
step 288: dis loss 0.319669, dis acc 0.000000, gan loss 0.325926, gan acc 0.000000
step 289: dis loss 0.312292, dis acc 0.000000, gan loss 0.300105, gan acc 0.000000
step 290: dis loss 0.338143, dis acc 0.000000, gan loss 0.322998, gan acc 0.000000
step 291: dis loss 0.320406, dis acc 0.000000, gan loss 0.322714, gan acc 0.000000
step 292: dis loss 0.314143, dis acc 0.000000, gan loss 0.324121, gan acc 0.000000
step 293: dis loss 0.324512, dis acc 0.000000, gan loss 0.322101, gan acc 0.000000
step 294: dis loss 0.320304, dis acc 0.000000, gan loss 0.320918, gan acc 0.000000
step 295: dis loss 0.326827, dis acc 0.000000, gan loss 0.317505, gan acc 0.000000
step 296: dis loss 0.338163, dis acc 0.000000, gan loss 0.352698, gan acc 0.000000
step 297: dis loss 0.330885, dis acc 0.000000, gan loss 0.370406, gan acc 0.000000
step 298: dis loss 0.323902, dis acc 0.000000, gan loss 0.321627, gan acc 0.000000
step 299: dis loss 0.344803, dis acc 0.000000, gan loss 0.326885, gan acc 0.000000
step 300: dis loss 0.349679, dis acc 0.000000, gan loss 0.352544, gan acc 0.000000
step 301: dis loss 0.327103, dis acc 0.000000, gan loss 0.337383, gan acc 0.000000
step 302: dis loss 0.320381, dis acc 0.000000, gan loss 0.339470, gan acc 0.000000
step 303: dis loss 0.334597, dis acc 0.000000, gan loss 0.343932, gan acc 0.000000
step 304: dis loss 0.337713, dis acc 0.000000, gan loss 0.340856, gan acc 0.000000
step 305: dis loss 0.293492, dis acc 0.000000, gan loss 0.278964, gan acc 0.000000
step 306: dis loss 0.321086, dis acc 0.000000, gan loss 0.318127, gan acc 0.000000
step 307: dis loss 0.331430, dis acc 0.000000, gan loss 0.341907, gan acc 0.000000
step 308: dis loss 0.314770, dis acc 0.000000, gan loss 0.331532, gan acc 0.000000
step 309: dis loss 0.349241, dis acc 0.000000, gan loss 0.350036, gan acc 0.000000
step 310: dis loss 0.327851, dis acc 0.000000, gan loss 0.346692, gan acc 0.000000
step 311: dis loss 0.317564, dis acc 0.000000, gan loss 0.322430, gan acc 0.000000
step 312: dis loss 0.321464, dis acc 0.000000, gan loss 0.326240, gan acc 0.000000
step 313: dis loss 0.334089, dis acc 0.000000, gan loss 0.324116, gan acc 0.000000
step 314: dis loss 0.337602, dis acc 0.000000, gan loss 0.339377, gan acc 0.000000
step 315: dis loss 0.331807, dis acc 0.000000, gan loss 0.319598, gan acc 0.000000
step 316: dis loss 0.322664, dis acc 0.000000, gan loss 0.316525, gan acc 0.000000
step 317: dis loss 0.337727, dis acc 0.000000, gan loss 0.314319, gan acc 0.000000
